index,animal,dob,sex,trauma,mildstressor,group,annotation_labels,annotation_names,annotation_abrv,parent_labels,parent_names,graph_order,count,gray,parcellation_group,volumes,count_vox
4218,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1084,Presubiculum,PRE,822,Retrohippocampal region,531,3082,1.0,cortical_plate,67752,0.04548943204628646
4219,ms_09,4/21/20,M,Trauma,Stressor,Trauma,821,"Primary visual area, layer 2/3",VISp2/3,385,Primary visual area,187,1172,1.0,cortical_plate,132154,0.008868441363863371
4220,ms_09,4/21/20,M,Trauma,Stressor,Trauma,632,"Dentate gyrus, granule cell layer",DG-sg,726,Dentate gyrus,476,2053,1.0,cortical_plate,101404,0.02024574967456905
4221,ms_09,4/21/20,M,Trauma,Stressor,Trauma,128,Midbrain reticular nucleus,MRN,323,"Midbrain, motor related",820,1957,1.0,midbrain,311620,0.006280084718567486
4222,ms_09,4/21/20,M,Trauma,Stressor,Trauma,596,Diagonal band nucleus,NDB,904,Medial septal complex,618,1516,1.0,cerebral_nuclei,67827,0.02235098117268934
4223,ms_09,4/21/20,M,Trauma,Stressor,Trauma,303,"Basolateral amygdalar nucleus, anterior part",BLAa,295,Basolateral amygdalar nucleus,563,1514,1.0,cortical_subplate,46578,0.03250461591309202
4224,ms_09,4/21/20,M,Trauma,Stressor,Trauma,251,"Primary auditory area, layer 2/3",AUDp2/3,1002,Primary auditory area,138,1501,1.0,cortical_plate,39182,0.03830840692154561
4225,ms_09,4/21/20,M,Trauma,Stressor,Trauma,639,"Cortical amygdalar area, anterior part",COAa,631,Cortical amygdalar area,427,1478,1.0,cortical_plate,36755,0.04021221602503061
4226,ms_09,4/21/20,M,Trauma,Stressor,Trauma,678,"Dorsal auditory area, layer 4",AUDd4,1011,Dorsal auditory area,125,1416,1.0,cortical_plate,25950,0.05456647398843931
4227,ms_09,4/21/20,M,Trauma,Stressor,Trauma,692,"Perirhinal area, layer 5",PERI5,922,Perirhinal area,371,1372,1.0,cortical_plate,41974,0.03268690141516176
4228,ms_09,4/21/20,M,Trauma,Stressor,Trauma,342,Substantia innominata,SI,835,"Pallidum, ventral region",613,1339,1.0,cerebral_nuclei,178368,0.007506951919626839
4229,ms_09,4/21/20,M,Trauma,Stressor,Trauma,657,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,345,"Primary somatosensory area, mouth",74,1331,1.0,cortical_plate,126863,0.010491632706147577
4230,ms_09,4/21/20,M,Trauma,Stressor,Trauma,854,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,369,"Primary somatosensory area, upper limb",81,1314,1.0,cortical_plate,60653,0.02166422106078842
4231,ms_09,4/21/20,M,Trauma,Stressor,Trauma,211,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,39,"Anterior cingulate area, dorsal part",228,1302,1.0,cortical_plate,50656,0.025702779532533165
4232,ms_09,4/21/20,M,Trauma,Stressor,Trauma,26,"Superior colliculus, motor related, deep gray layer",SCdg,294,"Superior colliculus, motor related",825,1297,1.0,midbrain,78038,0.016620108152438556
4233,ms_09,4/21/20,M,Trauma,Stressor,Trauma,23,Anterior amygdalar area,AAA,278,Striatum-like amygdalar nuclei,593,1285,1.0,cerebral_nuclei,37040,0.03469222462203024
4234,ms_09,4/21/20,M,Trauma,Stressor,Trauma,33,"Primary visual area, layer 6a",VISp6a,385,Primary visual area,190,1280,1.0,cortical_plate,82014,0.015607091472187676
4235,ms_09,4/21/20,M,Trauma,Stressor,Trauma,988,Ectorhinal area/Layer 5,ECT5,895,Ectorhinal area,376,1250,1.0,cortical_plate,40220,0.031079065141720538
4236,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1070,"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,329,"Primary somatosensory area, barrel field",55,1186,1.0,cortical_plate,103351,0.01147545742179563
4237,ms_09,4/21/20,M,Trauma,Stressor,Trauma,931,Pontine gray,PG,987,"Pons, motor related",895,1531,1.0,hindbrain,60851,0.025159816601206225
4238,ms_09,4/21/20,M,Trauma,Stressor,Trauma,159,Anterior olfactory nucleus,AON,698,Olfactory areas,390,1962,1.0,cortical_plate,240263,0.008166051368708457
4239,ms_09,4/21/20,M,Trauma,Stressor,Trauma,843,Parasubiculum,PAR,822,Retrohippocampal region,523,1534,1.0,cortical_plate,59900,0.025609348914858096
4240,ms_09,4/21/20,M,Trauma,Stressor,Trauma,549,Thalamus,TH,1129,Interbrain,641,1587,1.0,diencephalon,295591,0.005368905007256649
4241,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1089,Hippocampal formation,HPF,695,Cortical plate,454,1944,1.0,cortical_plate,171733,0.011319897748248734
4242,ms_09,4/21/20,M,Trauma,Stressor,Trauma,536,Central amygdalar nucleus,CEA,278,Striatum-like amygdalar nuclei,595,1917,1.0,cerebral_nuclei,78676,0.024365753215720168
4243,ms_09,4/21/20,M,Trauma,Stressor,Trauma,10704,"Dentate gyrus, polymorph layer",DG-po,726,Dentate gyrus,475,1912,1.0,cortical_plate,51187,0.03735323421962608
4244,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1047,"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,329,"Primary somatosensory area, barrel field",54,1912,1.0,cortical_plate,51691,0.036989030972509725
4245,ms_09,4/21/20,M,Trauma,Stressor,Trauma,952,"Endopiriform nucleus, dorsal part",EPd,942,Endopiriform nucleus,559,1827,1.0,cortical_subplate,116160,0.015728305785123967
4246,ms_09,4/21/20,M,Trauma,Stressor,Trauma,56,Nucleus accumbens,ACB,493,Striatum ventral region,575,1805,1.0,cerebral_nuclei,263008,0.006862909113030782
4247,ms_09,4/21/20,M,Trauma,Stressor,Trauma,600,"Dorsal auditory area, layer 2/3",AUDd2/3,1011,Dorsal auditory area,124,1793,1.0,cortical_plate,60142,0.029812776429117754
4248,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1023,"Ventral auditory area, layer 5",AUDv5,1018,Ventral auditory area,154,1770,1.0,cortical_plate,47654,0.03714273723087254
4249,ms_09,4/21/20,M,Trauma,Stressor,Trauma,351,Bed nuclei of the stria terminalis,BST,809,"Pallidum, caudal region",621,1756,1.0,cerebral_nuclei,95464,0.018394368557780944
4250,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1090,"Supplemental somatosensory area, layer 5",SSs5,378,Supplemental somatosensory area,104,1743,1.0,cortical_plate,93754,0.01859120677517759
4251,ms_09,4/21/20,M,Trauma,Stressor,Trauma,703,Cortical subplate,CTXsp,688,Cerebral cortex,555,1711,1.0,cortical_subplate,105638,0.01619682311289498
4252,ms_09,4/21/20,M,Trauma,Stressor,Trauma,354,Medulla,MY,1065,Hindbrain,918,1692,1.0,hindbrain,575501,0.002940047019900921
4253,ms_09,4/21/20,M,Trauma,Stressor,Trauma,847,"Primary auditory area, layer 5",AUDp5,1002,Primary auditory area,140,1673,1.0,cortical_plate,46593,0.035906681261133645
4254,ms_09,4/21/20,M,Trauma,Stressor,Trauma,252,"Dorsal auditory area, layer 5",AUDd5,1011,Dorsal auditory area,126,1666,1.0,cortical_plate,75964,0.021931441208993735
4255,ms_09,4/21/20,M,Trauma,Stressor,Trauma,838,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,353,"Primary somatosensory area, nose",46,1620,1.0,cortical_plate,63473,0.02552266317961968
4256,ms_09,4/21/20,M,Trauma,Stressor,Trauma,289,"Temporal association areas, layer 5",TEa5,541,Temporal association areas,364,1568,1.0,cortical_plate,58112,0.026982378854625552
4257,ms_09,4/21/20,M,Trauma,Stressor,Trauma,15,Parataenial nucleus,PT,571,Midline group of the dorsal thalamus,693,462,1.0,diencephalon,17129,0.026971802206783815
4258,ms_09,4/21/20,M,Trauma,Stressor,Trauma,816,"Primary auditory area, layer 4",AUDp4,1002,Primary auditory area,139,1148,1.0,cortical_plate,16563,0.06931111513614684
4259,ms_09,4/21/20,M,Trauma,Stressor,Trauma,246,"Midbrain reticular nucleus, retrorubral area",RR,323,"Midbrain, motor related",819,434,1.0,midbrain,27478,0.015794453744814033
4260,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1054,"Infralimbic area, layer 6a",ILA6a,44,Infralimbic area,250,145,1.0,cortical_plate,22853,0.006344900013127379
4261,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1005,"Primary auditory area, layer 6b",AUDp6b,1002,Primary auditory area,142,142,1.0,cortical_plate,6090,0.023316912972085387
4262,ms_09,4/21/20,M,Trauma,Stressor,Trauma,634,Nucleus of the posterior commissure,NPC,1100,Pretectal region,840,141,1.0,midbrain,15510,0.00909090909090909
4263,ms_09,4/21/20,M,Trauma,Stressor,Trauma,257,"posteromedial visual area, layer 6a",VISpm6a,533,posteromedial visual area,204,138,1.0,cortical_plate,11585,0.011911955114372033
4264,ms_09,4/21/20,M,Trauma,Stressor,Trauma,905,"Anterolateral visual area, layer 2/3",VISal2/3,402,Anterolateral visual area,166,136,1.0,cortical_plate,11661,0.011662807649429723
4265,ms_09,4/21/20,M,Trauma,Stressor,Trauma,707,"Infralimbic area, layer 1",ILA1,44,Infralimbic area,246,135,1.0,cortical_plate,17329,0.007790409140746725
4266,ms_09,4/21/20,M,Trauma,Stressor,Trauma,266,"Lateral septal nucleus, ventral part",LSv,242,Lateral septal nucleus,589,133,1.0,cerebral_nuclei,7287,0.01825168107588857
4267,ms_09,4/21/20,M,Trauma,Stressor,Trauma,9,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,361,"Primary somatosensory area, trunk",91,146,1.0,cortical_plate,10674,0.013678096308787708
4268,ms_09,4/21/20,M,Trauma,Stressor,Trauma,836,Ectorhinal area/Layer 1,ECT1,895,Ectorhinal area,374,133,1.0,cortical_plate,25197,0.005278406159463428
4269,ms_09,4/21/20,M,Trauma,Stressor,Trauma,233,"Anterolateral visual area, layer 5",VISal5,402,Anterolateral visual area,168,129,1.0,cortical_plate,14082,0.009160630592245419
4270,ms_09,4/21/20,M,Trauma,Stressor,Trauma,470,Subthalamic nucleus,STN,290,Hypothalamic lateral zone,796,129,1.0,diencephalon,11971,0.010776042101745886
4271,ms_09,4/21/20,M,Trauma,Stressor,Trauma,72,Anterodorsal preoptic nucleus,ADP,141,Periventricular region,735,127,1.0,diencephalon,2188,0.058043875685557585
4272,ms_09,4/21/20,M,Trauma,Stressor,Trauma,307,Magnocellular reticular nucleus,MARN,370,"Medulla, motor related",967,127,1.0,hindbrain,41122,0.0030883711881717815
4273,ms_09,4/21/20,M,Trauma,Stressor,Trauma,679,Superior central nucleus raphe,CS,1117,"Pons, behavioral state related",908,125,1.0,hindbrain,43388,0.00288098091638241
4274,ms_09,4/21/20,M,Trauma,Stressor,Trauma,310,Septofimbrial nucleus,SF,275,Lateral septal complex,590,124,1.0,cerebral_nuclei,16876,0.007347712728134629
4275,ms_09,4/21/20,M,Trauma,Stressor,Trauma,368,"Perirhinal area, layer 6b",PERI6b,922,Perirhinal area,369,123,1.0,cortical_plate,5078,0.024222134698700274
4276,ms_09,4/21/20,M,Trauma,Stressor,Trauma,601,"Anterolateral visual area, layer 6a",VISal6a,402,Anterolateral visual area,169,131,1.0,cortical_plate,7715,0.016979909267660402
4277,ms_09,4/21/20,M,Trauma,Stressor,Trauma,374,"Substantia nigra, compact part",SNc,348,"Midbrain, behavioral state related",858,146,1.0,midbrain,13715,0.01064527889172439
4278,ms_09,4/21/20,M,Trauma,Stressor,Trauma,540,"Perirhinal area, layer 1",PERI1,922,Perirhinal area,370,150,1.0,cortical_plate,29487,0.005086987486010784
4279,ms_09,4/21/20,M,Trauma,Stressor,Trauma,377,"Posterolateral visual area, layer 6a",VISpl6a,425,Posterolateral visual area,197,152,1.0,cortical_plate,9301,0.016342328781851413
4280,ms_09,4/21/20,M,Trauma,Stressor,Trauma,243,"Dorsal auditory area, layer 6b",AUDd6b,1011,Dorsal auditory area,128,177,1.0,cortical_plate,10217,0.0173240677302535
4281,ms_09,4/21/20,M,Trauma,Stressor,Trauma,936,Declive (VI),DEC,645,Vermal regions,1026,176,1.0,cerebellum,239591,0.0007345851889261283
4282,ms_09,4/21/20,M,Trauma,Stressor,Trauma,250,"Lateral septal nucleus, caudal (caudodorsal) part",LSc,242,Lateral septal nucleus,587,170,1.0,cerebral_nuclei,34325,0.004952658412235979
4283,ms_09,4/21/20,M,Trauma,Stressor,Trauma,503,"Superior colliculus, motor related, intermediate gray layer, sublayer b",SCig-b,10,"Superior colliculus, motor related, intermediate gray layer",830,170,1.0,midbrain,26045,0.006527164522941064
4284,ms_09,4/21/20,M,Trauma,Stressor,Trauma,215,Anterior pretectal nucleus,APN,1100,Pretectal region,837,169,1.0,midbrain,73669,0.002294044985000475
4285,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1045,Ectorhinal area/Layer 6b,ECT6b,895,Ectorhinal area,378,167,1.0,cortical_plate,6388,0.02614276768941766
4286,ms_09,4/21/20,M,Trauma,Stressor,Trauma,968,Nodulus (X),NOD,645,Vermal regions,1042,166,1.0,cerebellum,80661,0.00205799580962299
4287,ms_09,4/21/20,M,Trauma,Stressor,Trauma,120,"Agranular insular area, posterior part, layer 1",AIp1,111,"Agranular insular area, posterior part",286,165,1.0,cortical_plate,31189,0.005290326717753054
4288,ms_09,4/21/20,M,Trauma,Stressor,Trauma,235,Lateral reticular nucleus,LRN,370,"Medulla, motor related",964,164,1.0,hindbrain,31634,0.005184295378390339
4289,ms_09,4/21/20,M,Trauma,Stressor,Trauma,412,"Orbital area, lateral part, layer 2/3",ORBl2/3,723,"Orbital area, lateral part",260,164,1.0,cortical_plate,44449,0.0036896218137640892
4290,ms_09,4/21/20,M,Trauma,Stressor,Trauma,531,Medial pretectal area,MPT,1100,Pretectal region,838,163,1.0,midbrain,7298,0.022334886270211015
4291,ms_09,4/21/20,M,Trauma,Stressor,Trauma,362,Mediodorsal nucleus of thalamus,MD,444,Medial group of the dorsal thalamus,685,158,1.0,diencephalon,86351,0.0018297414042686246
4292,ms_09,4/21/20,M,Trauma,Stressor,Trauma,390,Supraoptic nucleus,SO,157,Periventricular zone,717,157,1.0,diencephalon,3713,0.04228386749259359
4293,ms_09,4/21/20,M,Trauma,Stressor,Trauma,171,"Prelimbic area, layer 1",PL1,972,Prelimbic area,239,157,1.0,cortical_plate,30765,0.005103201690232407
4294,ms_09,4/21/20,M,Trauma,Stressor,Trauma,136,Intermediate reticular nucleus,IRN,370,"Medulla, motor related",961,155,1.0,hindbrain,153949,0.0010068269361931548
4295,ms_09,4/21/20,M,Trauma,Stressor,Trauma,613,"Lateral visual area, layer 5",VISl5,409,Lateral visual area,182,154,1.0,cortical_plate,21668,0.007107254938157652
4296,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1107,"Medullary reticular nucleus, ventral part",MDRNv,395,Medullary reticular nucleus,970,153,1.0,hindbrain,48209,0.0031736812628347403
4297,ms_09,4/21/20,M,Trauma,Stressor,Trauma,97,"Temporal association areas, layer 1",TEa1,541,Temporal association areas,361,120,1.0,cortical_plate,28872,0.004156275976724855
4298,ms_09,4/21/20,M,Trauma,Stressor,Trauma,969,"Orbital area, ventrolateral part, layer 1",ORBvl1,746,"Orbital area, ventrolateral part",273,117,1.0,cortical_plate,25156,0.004650977897916998
4299,ms_09,4/21/20,M,Trauma,Stressor,Trauma,50,Precommissural nucleus,PRC,795,Periaqueductal gray,833,116,1.0,midbrain,5291,0.021924021924021923
4300,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1029,Posterior limiting nucleus of the thalamus,POL,138,Lateral group of the dorsal thalamus,670,116,1.0,diencephalon,6759,0.017162302115697588
4301,ms_09,4/21/20,M,Trauma,Stressor,Trauma,494,"Superior colliculus, motor related, intermediate gray layer, sublayer a",SCig-a,10,"Superior colliculus, motor related, intermediate gray layer",829,88,1.0,midbrain,8243,0.01067572485745481
4302,ms_09,4/21/20,M,Trauma,Stressor,Trauma,573,"Lateral visual area, layer 4",VISl4,409,Lateral visual area,181,88,1.0,cortical_plate,7752,0.011351909184726523
4303,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1044,Peripeduncular nucleus,PP,864,"Thalamus, sensory-motor cortex related",656,86,1.0,diencephalon,2799,0.030725259021078956
4304,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1031,"Globus pallidus, internal segment",GPi,818,"Pallidum, dorsal region",611,85,1.0,cerebral_nuclei,27122,0.0031339871690878253
4305,ms_09,4/21/20,M,Trauma,Stressor,Trauma,656,"Secondary motor area, layer 1",MOs1,993,Secondary motor area,25,84,1.0,cortical_plate,121223,0.0006929378088316574
4306,ms_09,4/21/20,M,Trauma,Stressor,Trauma,36,"Gustatory areas, layer 1",GU1,1057,Gustatory areas,108,83,1.0,cortical_plate,28255,0.002937533179968147
4307,ms_09,4/21/20,M,Trauma,Stressor,Trauma,919,"Anterior cingulate area, dorsal part, layer 6a",ACAd6a,39,"Anterior cingulate area, dorsal part",230,80,1.0,cortical_plate,22529,0.0035509787385148033
4308,ms_09,4/21/20,M,Trauma,Stressor,Trauma,791,"Posterior auditory area, layer 5",AUDpo5,1027,Posterior auditory area,147,79,1.0,cortical_plate,3728,0.02119098712446352
4309,ms_09,4/21/20,M,Trauma,Stressor,Trauma,181,Nucleus of reuniens,RE,571,Midline group of the dorsal thalamus,694,78,1.0,diencephalon,24576,0.003173828125
4310,ms_09,4/21/20,M,Trauma,Stressor,Trauma,704,"Agranular insular area, ventral part, layer 1",AIv1,119,"Agranular insular area, ventral part",292,77,1.0,cortical_plate,30945,0.0024882856681208597
4311,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1062,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,329,"Primary somatosensory area, barrel field",57,76,1.0,cortical_plate,14293,0.005317288183026656
4312,ms_09,4/21/20,M,Trauma,Stressor,Trauma,414,"Subparafascicular nucleus, magnocellular part",SPFm,406,Subparafascicular nucleus,653,76,1.0,diencephalon,5070,0.014990138067061143
4313,ms_09,4/21/20,M,Trauma,Stressor,Trauma,442,"Retrosplenial area, dorsal part, layer 1",RSPd1,879,"Retrosplenial area, dorsal part",326,74,1.0,cortical_plate,30893,0.002395364645712621
4314,ms_09,4/21/20,M,Trauma,Stressor,Trauma,903,External cuneate nucleus,ECU,386,"Medulla, sensory related",929,73,1.0,hindbrain,5822,0.012538646513225695
4315,ms_09,4/21/20,M,Trauma,Stressor,Trauma,114,"Superior olivary complex, lateral part",SOCl,398,Superior olivary complex,889,72,1.0,hindbrain,12408,0.005802707930367505
4316,ms_09,4/21/20,M,Trauma,Stressor,Trauma,810,"Anterior cingulate area, ventral part, 6a",ACAv6a,48,"Anterior cingulate area, ventral part",236,72,1.0,cortical_plate,18507,0.0038904198411411897
4317,ms_09,4/21/20,M,Trauma,Stressor,Trauma,920,Central lobule,CENT,645,Vermal regions,1004,446,1.0,cerebellum,250358,0.0017814489650820025
4318,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1022,"Globus pallidus, external segment",GPe,818,"Pallidum, dorsal region",610,89,1.0,cerebral_nuclei,103116,0.0008631056286124365
4319,ms_09,4/21/20,M,Trauma,Stressor,Trauma,965,"Retrosplenial area, lateral agranular part, layer 2/3",RSPagl2/3,894,"Retrosplenial area, lateral agranular part",300,178,1.0,cortical_plate,24510,0.00726234190126479
4320,ms_09,4/21/20,M,Trauma,Stressor,Trauma,873,"Supplemental somatosensory area, layer 1",SSs1,378,Supplemental somatosensory area,101,91,1.0,cortical_plate,49609,0.0018343445745731622
4321,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1046,"Anteromedial visual area, layer 6a",VISam6a,394,Anteromedial visual area,176,93,1.0,cortical_plate,9415,0.009877854487519915
4322,ms_09,4/21/20,M,Trauma,Stressor,Trauma,889,"Primary somatosensory area, nose, layer 6a",SSp-n6a,353,"Primary somatosensory area, nose",49,115,1.0,cortical_plate,52755,0.0021798881622595015
4323,ms_09,4/21/20,M,Trauma,Stressor,Trauma,897,"Visceral area, layer 1",VISC1,677,Visceral area,115,113,1.0,cortical_plate,18373,0.006150329287541501
4324,ms_09,4/21/20,M,Trauma,Stressor,Trauma,305,"Primary visual area, layer 6b",VISp6b,385,Primary visual area,191,109,1.0,cortical_plate,10335,0.010546686018384132
4325,ms_09,4/21/20,M,Trauma,Stressor,Trauma,484,"Orbital area, medial part, layer 1",ORBm1,731,"Orbital area, medial part",265,108,1.0,cortical_plate,19533,0.005529104592228536
4326,ms_09,4/21/20,M,Trauma,Stressor,Trauma,101,Ventral cochlear nucleus,VCO,607,Cochlear nuclei,925,107,1.0,hindbrain,48367,0.0022122521553952076
4327,ms_09,4/21/20,M,Trauma,Stressor,Trauma,598,"Ventral auditory area, layer 6b",AUDv6b,1018,Ventral auditory area,156,107,1.0,cortical_plate,4998,0.021408563425370147
4328,ms_09,4/21/20,M,Trauma,Stressor,Trauma,620,"Orbital area, medial part, layer 5",ORBm5,731,"Orbital area, medial part",268,106,1.0,cortical_plate,15388,0.006888484533402651
4329,ms_09,4/21/20,M,Trauma,Stressor,Trauma,148,"Gustatory areas, layer 4",GU4,1057,Gustatory areas,110,103,1.0,cortical_plate,12954,0.007951211980855334
4330,ms_09,4/21/20,M,Trauma,Stressor,Trauma,255,Anteroventral nucleus of thalamus,AV,239,Anterior group of the dorsal thalamus,675,103,1.0,diencephalon,26109,0.003944999808495155
4331,ms_09,4/21/20,M,Trauma,Stressor,Trauma,959,"Ventral auditory area, layer 1",AUDv1,1018,Ventral auditory area,151,102,1.0,cortical_plate,18862,0.005407698017177394
4332,ms_09,4/21/20,M,Trauma,Stressor,Trauma,882,"Primary motor area, Layer 6b",MOp6b,985,Primary motor area,23,100,1.0,cortical_plate,43771,0.002284617669233054
4333,ms_09,4/21/20,M,Trauma,Stressor,Trauma,63,"Paraventricular hypothalamic nucleus, descending division",PVHd,467,Hypothalamic medial zone,778,98,1.0,diencephalon,3051,0.032120616191412654
4334,ms_09,4/21/20,M,Trauma,Stressor,Trauma,12,Interfascicular nucleus raphe,IF,165,Midbrain raphe nuclei,861,96,1.0,midbrain,2156,0.04452690166975881
4335,ms_09,4/21/20,M,Trauma,Stressor,Trauma,262,Reticular nucleus of the thalamus,RT,856,"Thalamus, polymodal association cortex related",703,95,1.0,diencephalon,87419,0.0010867202782003911
4336,ms_09,4/21/20,M,Trauma,Stressor,Trauma,534,Supratrigeminal nucleus,SUT,987,"Pons, motor related",900,94,1.0,hindbrain,10567,0.008895618434749692
4337,ms_09,4/21/20,M,Trauma,Stressor,Trauma,593,"Primary visual area, layer 1",VISp1,385,Primary visual area,186,94,1.0,cortical_plate,56148,0.0016741468974852177
4338,ms_09,4/21/20,M,Trauma,Stressor,Trauma,429,"Spinal nucleus of the trigeminal, caudal part",SPVC,386,"Medulla, sensory related",937,93,1.0,hindbrain,84534,0.0011001490524522677
4339,ms_09,4/21/20,M,Trauma,Stressor,Trauma,217,Superior vestibular nucleus,SUV,701,Vestibular nuclei,988,92,1.0,hindbrain,22710,0.004051078819903127
4340,ms_09,4/21/20,M,Trauma,Stressor,Trauma,74,"Lateral visual area, layer 6a",VISl6a,409,Lateral visual area,183,178,1.0,cortical_plate,12778,0.013930192518390984
4341,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1004,Ventral premammillary nucleus,PMv,467,Hypothalamic medial zone,777,126,1.0,diencephalon,5630,0.022380106571936058
4342,ms_09,4/21/20,M,Trauma,Stressor,Trauma,980,Dorsal premammillary nucleus,PMd,467,Hypothalamic medial zone,776,179,1.0,diencephalon,5281,0.033895095625828445
4343,ms_09,4/21/20,M,Trauma,Stressor,Trauma,42,"Superior colliculus, motor related, deep white layer",SCdw,294,"Superior colliculus, motor related",826,261,1.0,midbrain,21888,0.011924342105263159
4344,ms_09,4/21/20,M,Trauma,Stressor,Trauma,906,"Retrosplenial area, lateral agranular part, layer 6a",RSPagl6a,894,"Retrosplenial area, lateral agranular part",302,267,1.0,cortical_plate,14114,0.018917386991639508
4345,ms_09,4/21/20,M,Trauma,Stressor,Trauma,263,Anteroventral preoptic nucleus,AVP,141,Periventricular region,737,267,1.0,diencephalon,4181,0.06386032049748865
4346,ms_09,4/21/20,M,Trauma,Stressor,Trauma,945,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,369,"Primary somatosensory area, upper limb",84,277,1.0,cortical_plate,46906,0.005905427877030657
4347,ms_09,4/21/20,M,Trauma,Stressor,Trauma,218,Lateral posterior nucleus of the thalamus,LP,138,Lateral group of the dorsal thalamus,668,281,1.0,diencephalon,69350,0.0040519105984138425
4348,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1017,Ansiform lobule,AN,1073,Hemispheric regions,1051,287,1.0,cerebellum,733048,0.00039151597166897666
4349,ms_09,4/21/20,M,Trauma,Stressor,Trauma,272,Anteroventral periventricular nucleus,AVPV,141,Periventricular region,738,290,1.0,diencephalon,4375,0.06628571428571428
4350,ms_09,4/21/20,M,Trauma,Stressor,Trauma,225,Spinal vestibular nucleus,SPIV,701,Vestibular nuclei,987,292,1.0,hindbrain,39468,0.007398398702746529
4351,ms_09,4/21/20,M,Trauma,Stressor,Trauma,654,"Primary somatosensory area, nose, layer 4",SSp-n4,353,"Primary somatosensory area, nose",47,300,1.0,cortical_plate,32103,0.009344921035417252
4352,ms_09,4/21/20,M,Trauma,Stressor,Trauma,580,Nucleus of the brachium of the inferior colliculus,NB,339,"Midbrain, sensory related",812,301,1.0,midbrain,8983,0.03350773683624624
4353,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1101,"Agranular insular area, dorsal part, layer 5",AId5,104,"Agranular insular area, dorsal part",282,306,1.0,cortical_plate,41939,0.007296311309282529
4354,ms_09,4/21/20,M,Trauma,Stressor,Trauma,612,Nucleus of the lateral lemniscus,NLL,1132,"Pons, sensory related",869,311,1.0,hindbrain,41788,0.007442327941035704
4355,ms_09,4/21/20,M,Trauma,Stressor,Trauma,934,"Entorhinal area, medial part, ventral zone",ENTmv,909,Entorhinal area,517,327,1.0,cortical_plate,16552,0.019755920734654424
4356,ms_09,4/21/20,M,Trauma,Stressor,Trauma,278,Striatum-like amygdalar nuclei,sAMY,477,Striatum,592,335,1.0,cerebral_nuclei,15406,0.02174477476307932
4357,ms_09,4/21/20,M,Trauma,Stressor,Trauma,852,Parvicellular reticular nucleus,PARN,370,"Medulla, motor related",971,339,1.0,hindbrain,118338,0.0028646757592658318
4358,ms_09,4/21/20,M,Trauma,Stressor,Trauma,973,"Lateral visual area, layer 2/3",VISl2/3,409,Lateral visual area,180,345,1.0,cortical_plate,20753,0.016624102539391894
4359,ms_09,4/21/20,M,Trauma,Stressor,Trauma,381,"Substantia nigra, reticular part",SNr,323,"Midbrain, motor related",817,351,1.0,midbrain,107010,0.003280067283431455
4360,ms_09,4/21/20,M,Trauma,Stressor,Trauma,998,Fundus of striatum,FS,493,Striatum ventral region,576,434,1.0,cerebral_nuclei,23171,0.018730309438522292
4361,ms_09,4/21/20,M,Trauma,Stressor,Trauma,314,"Agranular insular area, posterior part, layer 6a",AIp6a,111,"Agranular insular area, posterior part",289,430,1.0,cortical_plate,13892,0.030953066513101066
4362,ms_09,4/21/20,M,Trauma,Stressor,Trauma,582,"Orbital area, medial part, layer 2/3",ORBm2/3,731,"Orbital area, medial part",267,415,1.0,cortical_plate,23368,0.017759328996918865
4363,ms_09,4/21/20,M,Trauma,Stressor,Trauma,288,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,746,"Orbital area, ventrolateral part",274,415,1.0,cortical_plate,35411,0.011719522182372709
4364,ms_09,4/21/20,M,Trauma,Stressor,Trauma,1048,Gigantocellular reticular nucleus,GRN,370,"Medulla, motor related",958,178,1.0,hindbrain,121816,0.0014612202009588232
